content,date,stars,title,company,user
"Great Northern is the premier river rafting outfitter in the area. The guides (esp. Aaron & Jake) are without a doubt the most fun loving, safe and reliable guides you could ever ask for. Their knowledge of the rivers is astounding. They can cook up...",2-Jul-04,50,The best river rafting outfitter,Great Northern Resort,Devlyn
"Great Northern Whitewater Resort exceeded our expectations. Mary and Reno, handled all the details, from lodging to transportation. (9) of us, ages 5 to 90, arrived by Amtrak and were taken to breakfast, while the luggage went to the chalet. The chalet is a two...",20-Jun-07,50,Wonderful family trip,Great Northern Resort,SOGO71
"We stayed here 3 nights while visiting the west side of Glacier National Park, (less than 10 minutes down the street) People were very friendly, clean lodges with kitchen areas and grills. Plenty of room for large families. Super market about 10 minutes away.
We...",6-Jul-07,40,Great location,Great Northern Resort,grdn
"I found this company while searching for photography tours in Yosemite. John, the owner was very helpful. He contacted me to see exactly what I was interested in doing. He confirmed the plan with me before the trip. During the actual tour, the owner and...",14-Jan-08,50,Yosemite Photography Tours,YExplore Yosemite Adventures - Day Tours,Peg P
"If you enjoy spectacular outdoor scenery and wish to explore this National Park with a personal guide who can unfold the majesty and wonder, then YExplore is your choice. They specialize in custom trips with a cadre of hiking and photographer guides that know every...",17-Jan-08,50,Best adventure outfit in Yosemite,YExplore Yosemite Adventures - Day Tours,mzscapes
"My wife found Yexplore when she was looking for a guide to take us to halfdome in Yosemite. From the beginning John (the owner) was helpful. We have 5 children, 9 year old triplets and 16 year old twins, and John and Jacob guided us...",17-Jan-08,50,Don't hike Yosemite without them,YExplore Yosemite Adventures - Day Tours,pjweigel
"In June 2007, I planned to hike Half Dome and had prepped for it for a couple of months in the San Francisco Bay Area. After a hiker had fallen from the cables the week before I was scheduled to go, I decided a guide...",17-Jan-08,50,Hiking Yosemite 2007,YExplore Yosemite Adventures - Day Tours,PhilSanFran
"We found Y Explorers through a recommendation of the B&B where we had made reservations in Groveland, CA last April. I sent an e-mail inquiring about what tours were available. John called me back and was very helpful in outlining the tours that would be...",17-Jan-08,50,Excellent time on family tour,YExplore Yosemite Adventures - Day Tours,outtabout
I was lookiing for a company to guide me in hikes in Yosemite to make the most of a 5 day vacation with 3 days for hiking in October 2007. In addition this company is geared towards photo tours and was able to offer guidelines...,17-Jan-08,50,Yosemite Photography/Hiking tours,YExplore Yosemite Adventures - Day Tours,wanderlady
I stumbled on the Y Explore website as I tried to find an outfit to introduce my friend and me to snowshoeing and also exploring on our first trip to Yosemite. I was impressed with John's website and figured I'd just give him a call....,4-Mar-08,50,Snowshoeing in Yosemite,YExplore Yosemite Adventures - Day Tours,cbadrunner
"My family and I just returned from Yosemite National Park. We enjoyed a very special day hiking to Inspiration Point, one of the most beautiful spots I have ever seen. Our guides John DeGrazio and Ondrea were amazing. Their knowledge and love of nature were...",27-Apr-08,50,Magical,YExplore Yosemite Adventures - Day Tours,seamuschloe
We contacted John at Y Explore after searching for hiking tours in Yosemite. We spoke to John and his wife several times over the phone to personalize our six day hiking tour. Our goal was to train for a trip a few months later to...,4-May-08,50,Y Not? Experience the Best in Guided Hiking!,YExplore Yosemite Adventures - Day Tours,JimW551
My wife and I went to Yosemite for a couple of nights as a part of our honeymoon. We decided to take a guided moderate hike with YExplore on the strong recommendations of this site. We were really glad that we followed everyone's advice. We...,9-Jun-08,50,Wonderful Yosemite experience with John,YExplore Yosemite Adventures - Day Tours,tdmccarthy
