content,date,stars,title,company,user
"Our day with Kayla was amazing. Couldn't ask for more! She was easy to be around, very knowledgeable, and kept us safe! She also found clean restrooms each time! We have since used her again!",28-Aug-17,50,Family of 4 with Kayla,Yosemite Family Adventures,Bec3017
Our guide was passionate and very knowledgeable about the Yosemite area. She was also very sensitive to ensure we were comfortable and satisfied with the sites and activities offered. We had llimited time and we felt that the full day tour with the guide was...,24-Aug-17,50,Highly recommended!,Yosemite Family Adventures,richelle_wiley
The Yosemite Family Adventures team was superb. Super nice people and very well versed in the history of the area as well as making sure we saw all the highlights the park has to offer. We highly recommend their services and would certainly use them...,24-Aug-17,50,The only way to see Yosemite!,Yosemite Family Adventures,stephencT2908SG
If you are going to Yosemite do yourself a favour and book a tour with Yosemite Family Adventures. David put together a fantastic build your own trip for us and our 12 and 14 year old daughters. We had Kayla as our guide and she...,24-Aug-17,50,Yosemite up close and personal,Yosemite Family Adventures,Ian & Suzanne M
My husband is getting older and doesn't want to drive anymore.YFA was a good idea and we were so glad we booked this guided trip.We went to all the highlights of Yosemite including Glacier Point and the Bridal Veil Falls which in May was flowing...,22-Aug-17,50,Yosemite is amazing,Yosemite Family Adventures,fsm787
"We did a full day tour with David as our guide. The whole day was fantastic. We were picked up from our hotel lobby. We visited Bridalveil falls, Yosemite falls and glacier point. We had a beautiful picnic lunch by a stream in the shade....",21-Aug-17,50,Excellent,Yosemite Family Adventures,Sarah F
YFA took great care of our family of four while on a tour of the top sites in the Yosemite Valley. Hetch Hetchy dam and the hike around it was a highlight of our trip. Our driver was excellent and provided us with lots of...,21-Aug-17,50,Relax and Enjoy the ride!,Yosemite Family Adventures,Katherine S
"Our family of 9 had an excellent time. While others sat in car lines we went to the best spots for pictures, hikes and a picnic lunch. Would highly recommend!",21-Aug-17,50,Great Guide Company,Yosemite Family Adventures,Slickster7777
Kayla was a wonderful guide. She had excellent knowledge of the park. And was able to provide background knowledge. She was great with our adult daughter who is autistic. We highly recommend YFA.,21-Aug-17,50,Simply the best!,Yosemite Family Adventures,Mark A
"Excellent tour, covered a lot of territory with 4 children b/w 3 and 12 in tow. Worth the money would highly recommend
Ryan F.",21-Aug-17,50,Custom tour for family of 6,Yosemite Family Adventures,rflannag01
Amazing Day with my family and Kevin only way to see the park - what a finish sunset on the cap was incredible,21-Aug-17,50,Great Day Exploring with Kevin,Yosemite Family Adventures,Kenneth H
"If you are looking to tour Yosemite, book Yosemite Family Adventures NOW! We had Nathan as our guide and he was fantastic. He was informative, affable and seemed equally excited about the parks amazing sites as we were. The full day hike was customized to...",21-Aug-17,50,Yosemite Family Adventures made our trip amazing!!!,Yosemite Family Adventures,joemA4379CS
We decided to use YFA because we have a very energetic 4 year old and 10 year old. David was great on the phone explaining what the service entails and how much fun it would be to have a private guide for the day.....and it...,21-Aug-17,50,Amazing Family Time!,Yosemite Family Adventures,Jennifer P
"Nathan was an exceptional guide, friendly, knowledgeable about everything Yosemite. He took me to places off the beaten path while being cognizant of my abilities. It was two exceptional days of hiking and conversing.",21-Aug-17,50,Delight,Yosemite Family Adventures,Twobe1
"So, I gave a list of what we'd like to see via contact on the website and left it at that. We were met by Bry, a very bubbly guide who was easy to talk to. We got exactly what we wanted and more! Views...",15-Aug-17,50,Sights of Yosemite,Yosemite Family Adventures,shauncunningham72
"No words can describe how amazing David was. A passionate and kindest human being who made the night so special for both me and my girlfriend (oops, now fiancé). I googled and came across Yosemite Adventures. When I called David, he offered beyond what I...",13-Aug-17,50,Proposal while stargazing under the Milky Way in Yosemite,Yosemite Family Adventures,Mihir P
We recently spent two days with our guide Kevin from Yosemite Family Adventures. We had a mixture of ages in our group with the children ranging from 10 to 19. Kevin catered for all of us and was great at showing us the less busy...,12-Aug-17,50,Excellent Guide in Beautiful Yosemite,Yosemite Family Adventures,Peford
We are glad we chose Yosemite Family Adventures to guide us for 3 enjoyable days in Yosemite. Our guide Nathan was excellent. He took us on numerous hikes and helped us discover many hidden secrets of Yosemite. The picnic lunch was great. Yosemite Family Adventures...,4-Aug-17,50,Exactly what we wanted,Yosemite Family Adventures,willy20062016
Bry Anne was our guide all day and did an excellent job! We only had 1 full day and she made sure we saw many beautiful sights. Many excellent views and very knowledgeable about all the native plants and trees. Also a pretty picnic lunch...,4-Aug-17,50,Make the most of your day ☀️⛰🤗,Yosemite Family Adventures,Grace C
"To put in simply, it was my wife's idea to go on a adventure holiday and I was quite vocal about my desire for a beach holiday... I am so glad I have a very persuasive wife because what transpired over our 5 days with...",1-Aug-17,50,Trip of a Lifetime,Yosemite Family Adventures,Matthew B
"My first-ever trip to Yosemite was all that I'd hoped for and more. From the planning stage (thanks for your patience, guys!), all the way through until my final goodbye everything worked out really well, thanks in huge part to Nathan, my guide. We hiked...",16-Oct-17,50,Solo Trip to Yosemite,Yosemite Family Adventures,susi437
"We were a party of 6 from the UK, aged 20 to 60 doing a 3 week 'California Dreamin' road trip/ tour, taking in Vegas, San Diego, Santa Monica, Santa Barbara, San Luis Obispo, Monterey, Yosemite, Healdsburg and San Francisco. Amongst all the fantastic things...",16-Sep-17,50,Stunning part of 3 week tour/ road trip to California,Yosemite Family Adventures,32Ciaran2015
"I recently had the extraordinary opportunity to hike Yosemite with YFA. I was a little nervous, mostly because I've never really hiked, but knew when I met tour guide David Furry that my friends and I would be in great hands. He knows all levels...",14-Sep-17,50,Fantastic Tour with YFA and David,Yosemite Family Adventures,Robyn C
Once again David Furry did a outstanding job organizing our trip to Yellowstone National park! We are a family of 9 and he creates a perfect set up from accommodations to exciting activities that entertain and educate! We highly recommended his company and will using...,12-Sep-17,50,Yellowstone national park ,Yosemite Family Adventures,kristinwest
"Yosemite is definitely heavenly! But, it can also be a bit daunting if you have never been there and are not sure how to navigate it to get the most out of your time spent. Yosemite has always been on my bucket list, but I...",12-Sep-17,50,Six Days in Heaven with YFA and Kevin,Yosemite Family Adventures,Marianne D
"High praise for YFA. They allowed us to create a unique 2 day itinerary that was filled with adventure and memories. Kayla was a terrific guide who was informative, friendly, and attentive to all our needs (and she might have even seen Bigfoot once!). This...",11-Sep-17,50,YFA is superb,Yosemite Family Adventures,TNbraindoc1
"I hesitated to write this review, because words simply cannot describe the awesome experience we had with YFA. I booked a private tour because we only had one full day to spend in the park and didn't want to waste time trying to figure it...",4-Sep-17,50,"The most incredible, unforgettable experience",Yosemite Family Adventures,Dawn R
"If you want to see this magnificent park in all its glory, take the time for a 7 day inclusive tour and let this wonderful company set it all up! We opted for the classic hiking tour with the John Muir option, which included fabulous...",30-Aug-17,50,The BEST Way to see Yosemite!,Yosemite Family Adventures,Edrn1
