content,date,stars,title,company,user
"Such a fun time! Everyone in our group really enjoyed the tour with Dustin and Kaitlyn. Great music, service, and people!",31-May-17,50,Sprocket rocket party bike,Sprocket Rocket Party Bike,Shannon M
Luke and Jenny were the perfect hosts bartenders everything!!! we will return to Nashville someday and do this sprocket rocket ride again at least twice!!! what a Hoot!!!!,31-May-17,50,perfect way to have spirits in Music City and see the downtown,Sprocket Rocket Party Bike,timeout33
Definitely a must do on your Nashville Bucket List!! Especially if you have a big group. The driver and bartender are great! Continuous fun!!! Never exhausting!!! Popular among bachelor/bachelorette parties. BYOB and they serve you as you go! So much fun!,27-May-17,50,So much fun!!!,Sprocket Rocket Party Bike,VegasFish1
Wanted to experience the pedal bar tavern so I made a reservation with 15 of my closest friends who flew down for a wedding and we rode around Broadway with Sprocket Rockets best Jeremy and Crisee. Best DJ and bartender for the hour or so...,22-May-17,50,Wedding Party/Friends,Sprocket Rocket Party Bike,klj913
A few weeks ago I was in Nashville for a Bachelorette party and we decided to try out the Sprocket Rocket. I wasn't that excited because I had recently done a pedal tavern and didn't really enjoy it. The sprocket rocket in Downtown Nashville was...,22-May-17,50,Great Time!,Sprocket Rocket Party Bike,Katie M
"In Nashville the last weekend in April to celebrate a Bachelorette Party and booked a bike tour with Sprocket Rocket - it clearly was the ""thing"" to do.
Sprocket Rocket is BYOB - so plan to bring alcohol with you! This is a nice feature....",22-May-17,40,Fun Experience for a Bachelorette Party,Sprocket Rocket Party Bike,Kimberly023
We made our reservations for four online with little effort. Chose the Saturday evening ride at 6:55 p.m. The meet-up location was easy to find. We arrived without our drinks and a staff person arranged a quick golf cart ride for us to the nearest...,15-May-17,50,So Much Fun,Sprocket Rocket Party Bike,Rboone58
We had the best time with Daniel and Abbey. Sprocket Rocket is the perfect mix of pure fun and ridiculousness. For a girls weekend it was the best way to spend 2 hours.,14-May-17,50,Fantastic ,Sprocket Rocket Party Bike,livinginlondon1344
"The bike really just loops around Broadway. The experience is very short, they say an hour and a half but that included 15 minutes of instructions and 15 minutes for a bathroom break. The girls driving and bartending our bike were very nice. Overall just...",8-May-17,30,"It was okay, just don't have high expectations",Sprocket Rocket Party Bike,eephus19
"6 of us in the group. Danny was our driver and Mercedes was our ""hostess"". They were great !!!
Fun, fun, fun night!!! The only complaint is that it went too fast. Easily could of stayed a few more hours.
Recommend!!",6-May-17,50,What a blast!!!,Sprocket Rocket Party Bike,maryaling
"I cannot say enough great things about this company and the experience! We visited them last Saturday for my best friend's bachelorette party. There was a group assigned with us who were being a little rude and stand offish, but we were determined to have...",20-Mar-17,50,Bachelorette Party ,Sprocket Rocket Party Bike,Susanburkhaltet
only one question however...real ..real ..important...where can i purchase the booze prior to meeting up??? the closer to locale the (colder)..uh..better..,17-Mar-17,50,Going in June 2017 ..Cannot Wait....YIPPEEE....,Sprocket Rocket Party Bike,CHARLES T
We had a great time on our private bike tour. The bartender and driver were a lot of fun and very entertaining. Extra bonus that they take photos for you and then post them so you do not have to worry about having your phone/camera...,14-Mar-17,50,Great Time!,Sprocket Rocket Party Bike,Brittany C
"I have to admit when my friend wanted to do this, I thought, ""all right, if you want"" But I am so glad we did. It was so much fun! But be aware, you are pedaling- there is a motor that helps, but as Adam...",9-Mar-17,50,Adam and Abbey Rock!,Sprocket Rocket Party Bike,Michael B
The most fun I've had on a large bike with beer! I have done these bikes before in the past but Sprocket Rocket was by far my favorite! Our driver Adam and bartender Alyssa were more than great! They kept the party going and drinks...,7-Mar-17,50,Party Bike!!,Sprocket Rocket Party Bike,Rachel E
"It's impossible not to have fun. Consuming beers and burning calories at the same time, a win win in my book!",7-Mar-17,50,Fun Fun!,Sprocket Rocket Party Bike,Southerngirljean
All you need is your drinks of choice and fun friends! They keep your drinks cold and provide entertainment and great song-along tunes for a great time! This is a must for Nashville!!,3-Mar-17,50,A blast!,Sprocket Rocket Party Bike,Chris E
"It's certainly fun, but a total money racket. Not only do you have to bring your own alcohol and water (yes, even water), but they go overboard in demanding tips AND just drive you around in circles in one particular neighborhood. For $40 a person,...",1-Mar-17,20,A total money racket,Sprocket Rocket Party Bike,pinkpangea2016
What a great way to experience Lower Broad and other downtown areas!! We had a blast!! The staff was great and I would do it all again!!,18-Feb-17,50,"Cousin's Reunion Sept. 30-Oct. 2, 2016",Sprocket Rocket Party Bike,gianna1129
We had an amazing birthday celebration with Sprocket Rocket and hope to find an excuse to do it again soon. The staff were so accommodating with our requests and knew exactly how to keep the vibe light and fun. This is a great way to...,14-Feb-17,50,A fun ride with energetic and dedicated crew!,Sprocket Rocket Party Bike,jenfaith00
Our group had so much fun doing this tour as part of her bachelorette weekend! It was a nice way to see downtown and hang out together and we also got a bit of a workout! Our driver and bartender were great and kept the...,24-Jul-17,50,Awesome bachelorette activity!,Sprocket Rocket Party Bike,Shannon N
You need to request Zac as your driver and Abbey as your bartender. They were great! Great playlist and Zac and Abbey made it super fun for all of us!,24-Jul-17,50,The Sprocket Rocket Party Bike is the BEST! Zac and Abbey made terrific hosts and we had so much fun with them.,Sprocket Rocket Party Bike,killeywescoe
Our pedal tour was the best part of our trip to Nashville!! Adam and Tracey were so much fun and great tour guides :) Highly recommended to anyone that is in town for a good time!!,22-Jul-17,50,Best trip ever!!,Sprocket Rocket Party Bike,Jessie L
"My friend and I did this on the advice of her daughter. It was a hoot! You meet great people and have a blast. Our driver and bartender were awesome. You get to see part of Nashville from a different perspective, and drink while you...",20-Jul-17,50,A real blast!,Sprocket Rocket Party Bike,grammieofkupa
I booked the whole party bus for a private tour the tour was everything I had expected. We had a blast. The girls on the bus were very accommodating to all of us.,10-Jul-17,50,Family wedding ,Sprocket Rocket Party Bike,Renee O
"Had a wonderful time with Drew! He was a great driver with lots of information. He was fun, helpful! Take the ride! Tip him great- he deserves it!",8-Jul-17,50,"Friendliest, most fun golf cart ride",Sprocket Rocket Party Bike,KTeacherTravels
"The ride it's self is a fun experience. The driver/dj was fun and our server Nicole was great. We booked weeks in advance and were really looking forward to this experience. However, they overbooked our tour and we were boarded last. As a result, four...",26-Jun-17,30,Overbooked :(,Sprocket Rocket Party Bike,Michael B
"Fantastic experience, wonderful staff, best music and phenomenal journey through Downtown Nashville. Went with 15 family members and had one of the greatest nights of our collective lives!!!!!!",20-Jun-17,50,MOST FUN YOU'LL EVER HAVE WITH YOUR CLOTHES ON!,Sprocket Rocket Party Bike,lindakane
BYOB was pretty cool concept because my glass was not empty the whole time. We also stopped at one bar to take a pee break and get more drinks. Overall We had a blast on the party bike! Adam and Jessica were awesome guides to...,16-Jun-17,50,Great time!!,Sprocket Rocket Party Bike,Joelle R
I would highly recommend doing this on your trip to Nashville! I made a big oops and booked for the wrong weekend. The owner was very accommodating and called several bookings for the same day and was able to get my group on another tour...,7-Jun-17,50,Great time and better customer service!,Sprocket Rocket Party Bike,Amy S
BYOB pedal cruise was awesome! Our cups were always full and the driver and bartender kept the tunes playing and the social drinks going!! I recommend this for a large group or anyone who wants to have a few drinks and laugh while petaling Broadway.,16-Sep-17,50,Excellent time never an empty cup,Sprocket Rocket Party Bike,shay255
Came to Nashville for a party weekend and this was one of the highlights. We went on a Sunday to avoid the bachelorette parties. Ryan and company treated us to great time. The music selection gets you in a party mode. Take into account that...,11-Sep-17,50,Lots of fun,Sprocket Rocket Party Bike,Ksqplus3
Best tour of Nashville - Christian knows this town! Good mix of Nashville history/neighborhoods and where the good bars are. He is a great tour guide and lots of fun! Will definitely book him again the next time I'm in town.,7-Sep-17,50,Cruising w/Christian,Sprocket Rocket Party Bike,mslas23
Christian was our golf cart driver. We had told him we couldn't get on the peddle bar and he suggested a cart cruze. We had a most enjoyable ride ever. Christian took us all through Nashville. Great views and interesting sites,3-Sep-17,50,Christian 2 hour cruze,Sprocket Rocket Party Bike,Sherry V
"Danny and Crisee were the best ambassadors to Nashville we could have had. Great tunes, kept our cups filled and it really looked like compared to the rest of the peddle tours we passed we were having the most fun! Thanks for a great time.",29-Aug-17,50,HAD A BLAST,Sprocket Rocket Party Bike,Priscilla S
"We wanted to try some bars off the touristy Broadway and Christian took us to some great places we never would have seen on our own. Way better than the normal ""pedal"" tours we have done before. Do it!!",23-Aug-17,50,Christian was a blast and took us on a great tour!!,Sprocket Rocket Party Bike,Amy W
I was on a girls trip for my friend's birthday and this was the highlight! Our driver/DJ was hilarious and the bartender kept our drinks full. It was a fun way to see the city. You get a bathroom break half way through. They also...,17-Aug-17,50,Highlight of Girls Trip!,Sprocket Rocket Party Bike,jrkorzen
So much fun! Great customer service! Highly recommend!!!!!!!! We had a small mishap and the company went out of their way to make it a great experience for us.,9-Aug-17,50,great experience,Sprocket Rocket Party Bike,nenni
