content,date,stars,title,company,user
"Amazing stories that bring together historical Charleston with supernatural Charleston. We took the 730 Saturday night tour and we're a bit skeptical, but highly recommend to anyone looking to learn something about the town while keeping an open mind.",12-Aug-17,50,Fantastic and spooky,Old Charleston Walking Tours,Brandon12345
We did the 7:30 pm ghost tour while we were in town on vacation. Mike Brown was our guide. Not only has he been doing tours for 19 yrs but he is so captivating and passionate about what he does... amazing time,22-Jul-17,50,Must do!!,Old Charleston Walking Tours,Jenna G
I did the 7:30 p.m. Ghost Tour last night and had a wonderful time! Mike is super knowledgeable about Charleston and the walking tour was the perfect mix of spooky and historical. I highly recommend this tour!,21-Jul-17,50,Excellent tour around a beautiful city,Old Charleston Walking Tours,rosecatherine
Our tour guide Jessica was extremely knowledge. Having grown up in the area she was extremely insightful and enthusiastic. She was also very open to questions. The company accommodated our group when we requested to change the tour time on the day of. Overall would...,17-Jul-17,50,Great insights!,Old Charleston Walking Tours,Julianne G
"LOVED the ghost tour. Mike was incredibly knowledgeable about Charleston, a fantastic storyteller, and genuinely great guide. Would recommend to anyone interested in paranormal, Charleston history, or history in general. We even went back and explored areas he mentioned the next day. Great experience overall...",17-Jul-17,50,9:30 pm ghost tour July 2017,Old Charleston Walking Tours,bethharper2017
"This was a great tour. He was very laid back, the tour was very walkable, he had photos to enrich the stories he was telling...it was a great tour.",14-Jul-17,50,Fun!,Old Charleston Walking Tours,0wlie
"Michael Brown was amazing. The history and research he did to tell these stories will make anyone believe. This was a first for myself and my daughter and although we both have always been interested with the unknown , but always wanted to know more,...",8-Jul-17,50,Great stories with the proof to back it up,Old Charleston Walking Tours,Amib1
"I have been on several ghost tours and I thoroughly enjoyed this one. He knew so much information, you could tell that knowing all the history was really his passion. Very entertaining, but wish super skeptics would skips these tours they take the fun out...",5-Jul-17,50,Great evening of spooky history,Old Charleston Walking Tours,Dmorri16
Had a great time walking around learning some of Charlestons creepy history. Would recommend. Michael Brown was awesome.,29-Jun-17,50,Great tour!,Old Charleston Walking Tours,Nellie Q
A must do! Mike is an excellent story teller and my daily LOVED the walk and the fact that he wove history into all of his stories as well as his own experiences!!,29-Jun-17,50,Exceptional story teller ,Old Charleston Walking Tours,Jessica S
The guide was very interesting. He led a small group around the city to different locations and described an unusual event that occurred there. I am not going to give anything away but the information and presentation made believing in ghosts not so unusual.,26-Oct-17,40,Our trip to Charleston SC,Old Charleston Walking Tours,linda z
The first ghost tour we've been on where my daughter and I both had that tingling feeling on the back of our necks! I believe it helped that we had done a walking tour and had visited a few of the places prior to the...,7-Oct-17,50,Gave us shivers!,Old Charleston Walking Tours,JCJake
