content,date,stars,title,company,user
The walk was nice. The history was unorganized and lacking fluidity in order to retain anything meaningful. The city has much more to offer than was explained on the tour.,18-Apr-17,30,It's ok,Old Charleston Walking Tours,Michele C
"Mr. Stiles seems so fully enamored of Charleston that he goes to great lengths to play down the plight of the slaves who were traded and who resided there. He does a similar turn with the ""relationships"" between male slave owners and female slaves, describing...",16-Apr-17,10,Mr. Stiles is a bit of a slavery apologist,Old Charleston Walking Tours,federotz
"Just did this walking ghost tour...it was our first ghost tour. More history than ghost tales, and was slightly disappointed. It was entertaining, but about 30 minutes too long!",29-Mar-17,30,Just ok,Old Charleston Walking Tours,Wendy M
"The places we saw and stories we heard we entertaining, but unfortunately the guide wasn't a very captivating story teller and was kind of monotonous.... It wasn't a bad tour, just didn't keep my attention. Sometimes you just don't click with people!",20-Mar-17,30,Average ghost tour,Old Charleston Walking Tours,Alyssa T
"I was really excited about this tour, but....
I take advantage of any opportunity I have to learn more about the civil war and visit historical sights, but after spending the first full hour (of a two hour tour) listening to a lot of political...",6-Sep-16,30,"Less talking, more sight seeing...",Old Charleston Walking Tours,Wildflower030
We went on this tour last week. Information was good but our tour guide was very hard to understand. He spoke very fast and not very loud for the large group and was hard to hear and understand. We have been on many ghost tours...,15-Jul-16,30,Ok Tour,Old Charleston Walking Tours,monaco2611
"We try to go on a ghost tour wherever we visit
We found a Groupon for this 90 minute Ghost Tour
Taken through a couple stops in the city, there were more stories about ghosts that weren't in the location we were, but at the...",16-Mar-16,30,"Guide was good, but a little disappointed with the stories and the tour",Old Charleston Walking Tours,circlearoundtheworld
Let me first say that I enjoyed this tour. It was informative. I have done ones in savannah so this one doesn't quite do it for me. I will mention the use of the tablet incorporated into the stories was awesome. The reason I gave...,3-Jul-16,30,It was ok. ,Old Charleston Walking Tours,Steven S
"We've been on tons of ghost tours, all over the nation. This one was pretty informative, but our tour guide didn't seem to have the passion for the topic like others we've experienced. We had the 7:30 tour with A young man who told us...",26-Jun-16,30,It was ok...,Old Charleston Walking Tours,Kelli_in_GA
"My husband and I went on this tour because of all the excellent Trip Advisor reviews, but we were not impressed. The tour guide (who was a very nice young man) told the stories as if he was giving an 8th grade book report or...",31-Dec-15,10,"Not sure if we got a bum guide or what, but this was terrible (Ghost Tour)",Old Charleston Walking Tours,Katie R
"We joined this tour very last minute but had done some research online. The website pretty clearly states that either Mike or Dennis are the tour guides. But when we showed up, Mike was there but introduced us to a different guide. Given that a...",24-Nov-15,30,Ghost Tour,Old Charleston Walking Tours,Amy F
My group did the Ghost Tour. We did not have Mike Brown as our guide. We spent the first 15 minutes standing across the street from where 2 criminals were hung hearing tales about an old jail that we never saw except in photos on...,26-Sep-15,10,Disappointed,Old Charleston Walking Tours,Joyce Q
My friends were here from Cincinnati so I wanted to show then a lot of the Charleston glamour. We decided to do one of the walking tours. Being a native I didn't think I would learn too much but I was pleasantly surprised. As long...,24-Sep-15,30,Walking Tours,Old Charleston Walking Tours,JudySingleton
