content,date,stars,title,company,user
"This was a birthday activity with a group of friends. We decided to do The Hotel which is two challenges in an hour. It is extremely difficult to complete. First your group is split into three rooms, which every room is given different clues to...",7-Nov-17,50,Challenging,Mission: Escape Atlanta,Diamond E
"This was the second escape room we had ever done, I wish we would have started here though. Our first attempt was ""The Hotel"" which was absolutely incredible. The depth and detail was amazing. You definitely need 6 players for this room. Then we went...",11-Oct-17,50,Love Mission Escape!,Mission: Escape Atlanta,RhinoATL
"This was the seventieth escape game I've played, and I was extremely impressed. The puzzles were well-planned and integrated with the story. The room looked great, and it was clear lots and LOTS of time and effort went into the design, decoration and implementation of...",22-Sep-17,50,"Embarrassingly Horrible Staff, Earth Shatteringly Awesome Game Design",Mission: Escape Atlanta,Michael O
My wife booked the hotel for our 18th anniversary with our teenage kids. From the moment we were greeted to when we left Seth was a great host and concierge. We ran out of time but was just seconds away from solving the final clue...,7-Aug-17,50,Great fun in the hotel room,Mission: Escape Atlanta,Joshua S
"Me and a group of my friends (10 of us total) did the Study and had an awesome time! The staff were great, and helpful when needed. The theme and the room itself was well done and not hokey or cheesy in anyway. The clues...",13-Jul-17,50,Awesome time!,Mission: Escape Atlanta,wanderlust0914
"Having done two previous escape rooms (in different cities), we knew what to expect. ""The Study"" was challenging. We (3 adults) were paired with a family that had no experience. Consequently, we ended up going over many things twice, because they didn't understand the clues...",6-Jun-17,40,Fun times!,Mission: Escape Atlanta,mdaby3
"Took wife, grandson and his friend to ME for his birthday. While there we were teamed with another five person family in the room. We did the Study escape. Nine folks in the room was a bit tight. The parents of the other family were...",1-Jun-17,20,Too many families/people to enjoy experience.,Mission: Escape Atlanta,Bob V
"We did the Study and had to come back for the Hotel. Loved both of them, challenging but doable and pushing yourself in a different way. I think we all got hooked on escape rooms now and are eagerly awaiting another one to open from...",28-May-17,50,Great night with friends,Mission: Escape Atlanta,usanda
This was really great fun. Wish it had been a little less expensive. Do it if you haven't - you'll talk about it for a long time.,25-May-17,50,Didn't know what to expect,Mission: Escape Atlanta,258katherinew
Challenging yet fun! It was a great team building event. The facility was good with clues that were solvable but not easy.,23-May-17,50,Great fun!,Mission: Escape Atlanta,Melissa R
My daughter turned 30 this month and wanted to go to the Escape Room. The employees were great! Some of our people got stuck in traffic and they assured us that they could still enjoy the experience with us. We were in The Study and...,30-Mar-17,50,Birthday Event,Mission: Escape Atlanta,wallsheila114
We had a blast! So much fun. The staff was very nice. Would recommend to anyone who loves games. Loved it!,29-Mar-17,50,Fun! Fun!,Mission: Escape Atlanta,martinbigm
This escape room was wonderful. They have great production values and an involved staff. The room was super fun and had enough challenges to keep the whole group occupied. The one thing I would ask of them: Your items that need to be plugged into...,29-Mar-17,50,An excellent adventure,Mission: Escape Atlanta,zjhuntingtonmeath
My first time for an Escape the Room experience. It was really fun and definitely kept you intellectually thinking the entire time. Would definitely recommend this place.,29-Mar-17,40,Escaping in Atlanta,Mission: Escape Atlanta,debracL7881CT
"We had so much fun celebrating a birthday at Mission: Escape Atlanta. We were put in a room with 6 or so other people (not with our party) and had a GREAT TIME! We came sooooooo close to escaping, but alas, no such luck!
Definitely...",29-Mar-17,50,Didn't escape! Must go back!,Mission: Escape Atlanta,Lisa M
We thoroughly enjoyed our experience at Mission: Escape Atlanta. We did the Study room. There were 3 of us joining with a family of 7 and I believe everyone helped and we all worked together well. We did not even come close to completing the...,29-Mar-17,50,Great experience - would definitely go again!,Mission: Escape Atlanta,Marcy R
"Went with a big group of folks who were in town for a family reunion. We had so much fun and were talking about it for the rest of the trip. The game master was helpful, but not too helpful in escaping the room.",29-Mar-17,50,Great Time,Mission: Escape Atlanta,marlenemaginot
It was time well spent. I had only ever played the online games that these businesses were modeled after and I can say that Mission Escape did a perfect job. The staff member who was working at the time was extremely welcoming and did his...,29-Mar-17,50,Great Experience!,Mission: Escape Atlanta,cmarbut14
"Had so much fun doing the Hotel in the a.m.. We scheduled to do the study that evening and went back. The staff put up with our Shenanigans so well and shared a few laughs with us. Great time, very challenging and super nice production...",29-Mar-17,50,Was better the second time,Mission: Escape Atlanta,pierceca
"We visited Mission Escape with our friends who were visiting with young children. Although our children are young adults, it was a lot of fun for everyone. We all were able to participate and escape!",29-Mar-17,50,Great time!,Mission: Escape Atlanta,Noelle F
"Our group traveled to purposefully try this location of escape rooms. We normally beta test rooms for companies, so we've seen the good, bad, and ugly of escape rooms. We've collectively done over 100 escape rooms so we were excited to try their two new...",23-Apr-17,40,"One of the best in Atlanta, but do your research on rooms before you book!",Mission: Escape Atlanta,mhm6464
"We went for my friends 30th birthday, it was a great team building expierence, and challenging at the same time!!!",23-Apr-17,50,Amazing,Mission: Escape Atlanta,Avery S
Excellent experience overall. Surpassed my expectations as a first timer. Staff was helpful and engaging. Rooms were very intricate with lots of surprises I never would have expected. Very impressive!,22-Apr-17,50,Wow!,Mission: Escape Atlanta,564monica
This place is simply out amazing. My wife and I along with our four kids had a blast. It's not easy but it definitely causes you all to work together.,21-Apr-17,50,Fantastic,Mission: Escape Atlanta,dastepher
"This was so much fun! It was our first ""Mission:Escape"". We've got to plan another one. Hopefully later in the year!",21-Apr-17,50,Loved it!,Mission: Escape Atlanta,dldunn52
Our family tried out the Escape Room called Hotel....this escape added and new challenge b/c we were split up into 3 different rooms and first had to figure out HOW to communicate then had to work together from the separate rooms to breakout into the...,21-Apr-17,50,Fun time for the family,Mission: Escape Atlanta,nyj0320
"Nice way to spend time with your family. Very creative room and set up. I would recommend this for families, friends, and work groups.",21-Apr-17,40,Very fun!,Mission: Escape Atlanta,Ashley B
"we traveled to Atlanta for a family wedding and thought we'd have some side fun. We chose mission escape Atlanta because it was highly rated. It did not disappoint!
Our flight was delayed and they graciously rescheduled our experience. The room we did was the...",21-Apr-17,50,Super fun experience,Mission: Escape Atlanta,EllenK123
"Great concept and very attentive staff.
A brain challenge but not a physical challenge.
The lighting was dim for anyone with vision issues.
Would definitely go again!",21-Apr-17,40,Family night out,Mission: Escape Atlanta,529JanB
