content,date,stars,title,company,user
"Zak the Brit was our guide. He was not only interesting, but also made sure we had a safe and fun adventure. I brought two friends and my wife along, none of which had been down the Middle Fork before. For that reason, they were...",22-Aug-17,50,Great experience down the Middle Fork,American Whitewater Expeditions,captvalk
"First of all, everyone raves about the white water rafting, the guides, the fun, the great day on the river, etc... AND WE AGREE WITH ALL OF THAT. We just want to say that the camp, the food, the check in and the remodeled bathrooms...",12-Aug-17,50,All around FUN!!,American Whitewater Expeditions,Travlholic
"I've done a considerable amount of whitewater worldwide but this was my first time taking my middle daughter Madison, age 8. We did Chili Bar. They say OK for 6 and up but it was her first time, so it had to be safe &...",18-Jul-17,50,"Safe, fun time - great whitewater operator",American Whitewater Expeditions,Jordan_Silber
"First time rafting for our family of four. We had the BEST time ever!! Vicky and Christian were our guides on our 2-day trip. Both of them were fantastic and extremely skilled, very personable. Safety is the No. 1 priority for this company. Campground was...",12-Jul-17,50,Awesome Trip!!!,American Whitewater Expeditions,Lisa G
"Enjoyed an amazing day on the river with guide Liz. We were a group of two moms, a grandma and three kids (7, 9 & 9 yrs). Liz was wonderful with the kids and really knew how to relax their nerves and boost their confidence....",8-Jul-17,50,Great family fun!,American Whitewater Expeditions,BlueandBittysMama
We had a wonderful time with American Whitewater. We were supposed to do the Middle Fork but the water was running at 2300 cubic feet/second so a decision was made to do the North Fork instead. I cannot say what our experience would have been...,26-Jun-17,50,"Wonderful guides, fun river, and good lunch",American Whitewater Expeditions,MJBSLC
"3 Days and 2 Nights at the resort with the Whitewater Rafting last Saturday. I went with the Harley group out of Burbank/Glendale driving there with my sister from Chico. The campground was all setup. We were right next to the dining, showers and bathrooms....",31-May-17,50,Crossed One Off the Bucket List!,American Whitewater Expeditions,Retiredlady8
"Had an awesome time on the American River (04/25/2017) with Guides Christian and Tom. We were the only boat on the river that day except for one private rafter. Really impressed with American Whitewater Expedition and their emphasis on safety. Tom was handling our ""safety""...",5-May-17,50,Awesome Experience for 4 Usins From the South!!,American Whitewater Expeditions,Steven A
We did the half day / gorge trip. Thank you JC for guiding us so expertly down the river. First time our 13 and 11 year old have rafted and it was a great experience. We were apprehensive about going so early in the season...,14-Apr-17,50,Great day - wonderful guide!,American Whitewater Expeditions,pawsmum
"Just good memories about the tour. Well organized, prepared guides, cool route. Thank you all, mainly our tour guide, Liz. One of the best days of the year ;)",11-Sep-16,50,An unforgottable tour with an awesome guide,American Whitewater Expeditions,Petra G
"First time whitewater rafting and first time camping with our child. Our guide Brian was excellent. The rapids were exhilarating and we were well taken care of with breakfast, lunch, dinner. Our site was set up the night before our first outing. The service was...",7-Sep-16,50,I will go back!,American Whitewater Expeditions,Aceabouttown
"I did quite a bit of research before booking our whitewater rafting and when we decided to camp the night before I chose this company because I thought it would provide a less 'rugged' experience, a more comfortable camping trip as advertised on their website...",7-Sep-16,30,"Great rafting experience, but misleading website. Lower you're expectations and it's ok",American Whitewater Expeditions,IlariaK
"This was my family's first attempt at river rafting and it was awesome. The Middle Fork all-day expedition is just right for the adventuresome athletic beginner or intermediate rafter. There are just the right amount of calm waters, turbulent waters and in-between waters. Our guides...",27-Aug-16,40,Awesome Rafting and Inexpensive Camping,American Whitewater Expeditions,Loves-A-Deal-2-Eat
"We (family of 3) took the half-day lower Gorge express trip during July and can only confirm that all is as advertised - slow and meallow start with plenty of opportunity to swim and meet new friends that share your boat. Guides are very experienced,...",21-Aug-16,50,White Water Adventure!,American Whitewater Expeditions,Bernhard E
We think we lucked out as our guide as exceptional! It's hard to find a group activity for 32 people but this one hits the spot. Our guide rated us with expertise and humor and we are already planning next Summer's visit there again.,10-Aug-16,50,When can we go back?,American Whitewater Expeditions,Meredith M
"We went on a 1 1/2 day expedition. First day the lower part of the South Fork (started right after Troublemaker) and ended near the dam. Second day started near the Chile Bar dam and ended with Troublemaker.
We had 2 very experienced guides 10...",8-Aug-16,40,Top notch guides,American Whitewater Expeditions,Mike W
"My wife wanted to go river rafting for her birthday. I had been on the South Fork of the American River years ago with my daughter. It is fun but not very exciting if one is more of the adventurous type.
I had booked the...",25-Jul-16,50,Super time on the Middle Fork of the American River,American Whitewater Expeditions,hmill2015
"We did the whole South Fork of the American River with the very capable guide Jay. Our raft was filled with three kids and three adults. The river featured many exhilarating rapids. Jay added lots of extra thrills with Zen Rafting, African Style, Splatting, Boofing,...",15-Jul-16,50,Do the whole river,American Whitewater Expeditions,StuHermosaBeach
"I was extremely scared going into this excursion. I was with a group of 6 (4 have rafted before). Anxiety creeped in the minute I heard the river. I have a fear of water when I can't see the bottom. Luckily, the majority of the...",11-Jul-16,50,"First Time Rafting, Newfound Love!",American Whitewater Expeditions,M W
